name,title,earning_group,category,sub_category
,RD-IVF,Bonus,WH,Others
,RD-IVF,CHS Team Performance,WH,Others
,RD-IVF,Commission Adjustment,WH,Others
,RD-IVF,Goal,WH,Points Goal
,RD-IVF,Growth Commission,WH,Others
,RD-IVF,Guarantee Extended,WH,Others
,RD-IVF,MBO,WH,Others
,RD-IVF,Volume Retention,WH,Volume Retention
,RD-SR-HOSP,Above Goal,WH,Points Goal
,RD-SR-HOSP,Above Goal Volume Retention,WH,Volume Retention
,RD-SR-HOSP,Access Milestone,WH,Others
,RD-SR-HOSP,Bonus,WH,Others
,RD-SR-HOSP,CHS Team Performance,WH,Others
,RD-SR-HOSP,Commission Adjustment,WH,Others
,RD-SR-HOSP,Goal,WH,Points Goal
,RD-SR-HOSP,Growth Commission,WH,Others
,RD-SR-HOSP,Guarantee Extended,WH,Others
,RD-SR-HOSP,MBO,WH,Others
,RD-SR-HOSP,Volume Retention,WH,Volume Retention
,RD-WH,Above Goal,WH,Points Goal
,RD-WH,Above Goal Volume Retention,WH,Volume Retention
,RD-WH,Access Milestone,WH,Others
,RD-WH,Bonus,WH,Others
,RD-WH,CHS Team Performance,WH,Others
,RD-WH,Commission Adjustment,WH,Others
,RD-WH,Goal,WH,Points Goal
,RD-WH,Growth Commission,WH,Others
,RD-WH,Guarantee Extended,WH,Others
,RD-WH,MBO,WH,Others
,RD-WH,Volume Retention,WH,Volume Retention
,RD-WH-SR,Above Goal,WH,Points Goal
,RD-WH-SR,Above Goal Volume Retention,WH,Volume Retention
,RD-WH-SR,Access Milestone,WH,Others
,RD-WH-SR,Bonus,WH,Others
,RD-WH-SR,CHS Team Performance,WH,Others
,RD-WH-SR,Commission Adjustment,WH,Others
,RD-WH-SR,Goal,WH,Points Goal
,RD-WH-SR,Growth Commission,WH,Others
,RD-WH-SR,Guarantee Extended,WH,Others
,RD-WH-SR,MBO,WH,Others
,RD-WH-SR,Volume Retention,WH,Volume Retention
,"Sr Director, WH Strategic",Above Goal,WH,Points Goal
,"Sr Director, WH Strategic",Above Goal Volume Retention,WH,Volume Retention
,"Sr Director, WH Strategic",Access Milestone,WH,Others
,"Sr Director, WH Strategic",Bonus,WH,Others
,"Sr Director, WH Strategic",CHS Team Performance,WH,Others
,"Sr Director, WH Strategic",Commission Adjustment,WH,Others
,"Sr Director, WH Strategic",Goal,WH,Points Goal
,AD_IVF,Commission Adjustment,WH,Others
,AD_IVF,Goal,WH,Points Goal
,AD_IVF,Growth Commission,WH,Others
,AD_IVF,Guarantee Extended,WH,Others
,AD_IVF,MBO,WH,Others
,AD_IVF,Volume Retention,WH,Volume Retention
,ASR,Above Goal,WH,Points Goal
,ASR,Above Goal Volume Retention,WH,Volume Retention
,ASR,Access Milestone,WH,Others
,ASR,Bonus,WH,Others
,ASR,CHS Team Performance,WH,Others
,ASR,Commission Adjustment,WH,Others
,ASR,Goal,WH,Points Goal
,ASR,Growth Commission,WH,Others
,AD-SAM,Guarantee Extended,WH,Others
,AD-SAM,MBO,WH,Others
,AD-SAM,Volume Retention,WH,Volume Retention
,AD-WH,Above Goal,WH,Points Goal
,AD-WH,Above Goal Volume Retention,WH,Volume Retention
,AD-WH,Access Milestone,WH,Others
,AD-WH,Bonus,WH,Others
,AD-WH,CHS Team Performance,WH,Others
,AD-WH,Commission Adjustment,WH,Others
,AD-WH,Goal,WH,Points Goal
,AD-WH,Growth Commission,WH,Others
,AD-WH,Guarantee Extended,WH,Others
,AD-WH,MBO,WH,Others
,AD-WH,Volume Retention,WH,Volume Retention
,AD_IVF,Above Goal,WH,Points Goal
,AD_IVF,Above Goal Volume Retention,WH,Volume Retention
,AD_IVF,Access Milestone,WH,Others
,AD_IVF,Bonus,WH,Others
,AD_IVF,CHS Team Performance,WH,Others
,ASR,Guarantee Extended,WH,Others
,ASR,MBO,WH,Others
,ASR,Volume Retention,WH,Volume Retention
,ASR-FLOAT,Above Goal,WH,Points Goal
,ASR-FLOAT,Above Goal Volume Retention,WH,Volume Retention
,ASR-FLOAT,Access Milestone,WH,Others
,ASR-FLOAT,Bonus,WH,Others
,ASR-FLOAT,CHS Team Performance,WH,Others
,ASR-FLOAT,Commission Adjustment,WH,Others
,ASR-FLOAT,Goal,WH,Points Goal
,ASR-FLOAT,Growth Commission,WH,Others
,ASR-FLOAT,Guarantee Extended,WH,Others
,ASR-FLOAT,MBO,WH,Others
,ASR-FLOAT,Volume Retention,WH,Volume Retention
,ASR-SR,Above Goal,WH,Points Goal
,ASR-SR,Above Goal Volume Retention,WH,Volume Retention
,ASR-SR,Access Milestone,WH,Others
,ASR-SR,Bonus,WH,Others
,ASR-SR,CHS Team Performance,WH,Others
,ASR-SR,Commission Adjustment,WH,Others
,ASR-SR,Goal,WH,Points Goal
,ASR-SR,Growth Commission,WH,Others
,ASR-SR,Guarantee Extended,WH,Others
,ASR-SR,MBO,WH,Others
,ASR-SR,Volume Retention,WH,Volume Retention
,CFS,Above Goal,WH,Points Goal
,CFS,Above Goal Volume Retention,WH,Volume Retention
,CFS,Access Milestone,WH,Others
,CFS,Bonus,WH,Others
,CFS,CHS Team Performance,WH,Others
,CFS,Commission Adjustment,WH,Others
,CFS,Goal,WH,Points Goal
,CFS,Growth Commission,WH,Others
,CFS,Guarantee Extended,WH,Others
,CFS,MBO,WH,Others
,CFS,Volume Retention,WH,Volume Retention
,CFS-Exec,Above Goal,WH,Points Goal
,CFS-Exec,Above Goal Volume Retention,WH,Volume Retention
,CFS-Exec,Access Milestone,WH,Others
,CFS-Exec,Bonus,WH,Others
,CFS-Exec,CHS Team Performance,WH,Others
,CFS-Exec,Commission Adjustment,WH,Others
,CFS-Exec,Goal,WH,Points Goal
,CFS-Exec,Growth Commission,WH,Others
,CFS-Exec,Guarantee Extended,WH,Others
,CFS-Exec,MBO,WH,Others
,CFS-Exec,Volume Retention,WH,Volume Retention
,CFS-SR,Above Goal,WH,Points Goal
,CFS-SR,Above Goal Volume Retention,WH,Volume Retention
,CFS-SR,Access Milestone,WH,Others
