name,title,earning_group,category,sub_category
,COS_ONC_Breast,Growth Commission,ONC,Others
,COS_ONC_Breast,Guarantee Extended,ONC,Others
,COS_ONC_Breast,Initial Patients Points,ONC,Initial Patients
,COS_ONC_Breast,MBO,ONC,Others
,COS_ONC_Breast,Patient Retention,ONC,Others
,COS_ONC_HN,Above Goal Empower,ONC,Others
,COS_ONC_HN,Above Goal Follow On Points,ONC,Follow On Patients
,COS_ONC_HN,Above Goal Initial Patients Points,ONC,Initial Patients
,COS_ONC_HN,Access Milestone,ONC,Others
,COS_ONC_HN,Bonus,ONC,Others
,COS_ONC_HN,CHS Team Performance,ONC,Others
,COS_ONC_HN,Commission Adjustment,ONC,Others
,COS_ONC_HN,Follow On Points,ONC,Follow On Patients
,COS_ONC_HN,Growth Commission,ONC,Others
,COS_ONC_HN,Guarantee Extended,ONC,Others
,COS_ONC_HN,Initial Patients Points,ONC,Initial Patients
,COS_ONC_HN,MBO,ONC,Others
,COS_ONC_HN,Patient Retention,ONC,Others
,DM-ONC_GU,Above Goal Empower,ONC,Others
,DM-ONC_GU,Above Goal Follow On Points,ONC,Follow On Patients
,DM-ONC_GU,Above Goal Initial Patients Points,ONC,Initial Patients
,DM-ONC_GU,Access Milestone,ONC,Others
,DM-ONC_GU,Bonus,ONC,Others
,DM-ONC_GU,CHS Team Performance,ONC,Others
,DM-ONC_GU,Commission Adjustment,ONC,Others
,DM-ONC_GU,Follow On Points,ONC,Follow On Patients
,DM-ONC_GU,Growth Commission,ONC,Others
,DM-ONC_GU,Guarantee Extended,ONC,Others
,DM-ONC_GU,Initial Patients Points,ONC,Initial Patients
,DM-ONC_GU,MBO,ONC,Others
,DM-ONC_GU,Patient Retention,ONC,Others
,DM_Sig,Above Goal Empower,ONC,Others
,DM_Sig,Above Goal Follow On Points,ONC,Follow On Patients
,DM_Sig,Above Goal Initial Patients Points,ONC,Initial Patients
,DM_Sig,Access Milestone,ONC,Others
,OHS-HL,Above Goal Prospera,OH,Prospera
,OHS-HL,Above Goal Prospera and Renasight,OH,Others
,OHS-HL,Above Goal Renasight,OH,Renasight
,OHS-HL,Bonus,OH,Others
,OHS-HL,Commission Adjustment,OH,Others
,OHS-HL,Goal,OH,Others
,OHS-HL,Guarantee Extended,OH,Others
,OHS-HL,Prospera,OH,Prospera
,OHS-HL,Prospera Above Goal,OH,Prospera
,OHS-HL,Prospera and Renasight,OH,Others
,OHS-HL,Renasight,OH,Renasight
,OHS-HL,Renasight Above Goal,OH,Renasight
,OHS_GN,Above Goal Prospera,OH,Prospera
,OHS_GN,Above Goal Prospera and Renasight,OH,Others
,OHS_GN,Above Goal Renasight,OH,Renasight
,OHS_GN,Bonus,OH,Others
,OHS_GN,Commission Adjustment,OH,Others
,OHS_GN,Goal,OH,Others
,OHS_GN,Guarantee Extended,OH,Others
,OHS_GN,Prospera,OH,Prospera
,OHS_GN,Prospera Above Goal,OH,Prospera
,OHS_GN,Prospera and Renasight,OH,Others
,OHS_GN,Renasight,OH,Renasight
,OHS_GN,Renasight Above Goal,OH,Renasight
,OHS_GN_SR,Above Goal Prospera,OH,Prospera
,OHS_GN_SR,Above Goal Prospera and Renasight,OH,Others
,OHS_GN_SR,Above Goal Renasight,OH,Renasight
,OHS_GN_SR,Bonus,OH,Others
,OHS_GN_SR,Commission Adjustment,OH,Others
,OHS_GN_SR,Goal,OH,Others
,OHS_GN_SR,Guarantee Extended,OH,Others
,OHS_GN_SR,Prospera,OH,Prospera
,OHS_GN_SR,Prospera Above Goal,OH,Prospera
,OHS_GN_SR,Prospera and Renasight,OH,Others
,OHS_GN_SR,Renasight,OH,Renasight
,OHS_GN_SR,Renasight Above Goal,OH,Renasight
,OHS_TX,Above Goal Prospera,OH,Prospera
,OHS_TX,Above Goal Prospera and Renasight,OH,Others
,OHS_TX,Above Goal Renasight,OH,Renasight
,OHS_TX,Bonus,OH,Others
,OHS_TX,Commission Adjustment,OH,Others
,OHS_TX,Goal,OH,Others
,OHS_TX,Guarantee Extended,OH,Others
,OHS_TX,Prospera,OH,Prospera
,OHS_TX,Prospera Above Goal,OH,Prospera
,OHS_TX,Prospera and Renasight,OH,Others
,OHS_TX,Renasight,OH,Renasight
,OHS_TX,Renasight Above Goal,OH,Renasight
,RD-OH,Above Goal Prospera,OH,Prospera
,RD-OH,Above Goal Prospera and Renasight,OH,Others
,RD-OH,Above Goal Renasight,OH,Renasight
,RD-OH,Bonus,OH,Others
,RD-OH,Commission Adjustment,OH,Others
,RD-OH,Goal,OH,Others
,RD-OH,Guarantee Extended,OH,Others
,RD-OH,Prospera,OH,Prospera
,RD-OH,Prospera Above Goal,OH,Prospera
,RD-OH,Prospera and Renasight,OH,Others
,RD-OH,Renasight,OH,Renasight
,RD-OH,Renasight Above Goal,OH,Renasight
,RD-OH_HL_East,Above Goal Prospera,OH,Prospera
,RD-OH_HL_East,Above Goal Prospera and Renasight,OH,Others
,RD-OH_HL_East,Above Goal Renasight,OH,Renasight
,RD-OH_HL_East,Bonus,OH,Others
,RD-OH_HL_East,Commission Adjustment,OH,Others
,RD-OH_HL_East,Goal,OH,Others
,RD-OH_HL_East,Guarantee Extended,OH,Others
,RD-OH_HL_East,Prospera,OH,Prospera
,RD-OH_HL_East,Prospera Above Goal,OH,Prospera
,RD-OH_HL_East,Prospera and Renasight,OH,Others
,RD-OH_HL_East,Renasight,OH,Renasight
,RD-OH_HL_East,Renasight Above Goal,OH,Renasight
,RD-OH_HL_West,Above Goal Prospera,OH,Prospera
,RD-OH_HL_West,Above Goal Prospera and Renasight,OH,Others
,RD-OH_HL_West,Above Goal Renasight,OH,Renasight
,RD-OH_HL_West,Bonus,OH,Others
,RD-OH_HL_West,Commission Adjustment,OH,Others
,RD-OH_HL_West,Goal,OH,Others
,RD-OH_HL_West,Guarantee Extended,OH,Others
,RD-OH_HL_West,Prospera,OH,Prospera
,RD-OH_HL_West,Prospera Above Goal,OH,Prospera
,RD-OH_HL_West,Prospera and Renasight,OH,Others
,RD-OH_HL_West,Renasight,OH,Renasight
,RD-OH_HL_West,Renasight Above Goal,OH,Renasight
,VP-OH,Above Goal Prospera,OH,Prospera
,VP-OH,Above Goal Prospera and Renasight,OH,Others
,VP-OH,Above Goal Renasight,OH,Renasight
,VP-OH,Bonus,OH,Others
,VP-OH,Commission Adjustment,OH,Others
,VP-OH,Goal,OH,Others
,VP-OH,Guarantee Extended,OH,Others
,VP-OH,Prospera,OH,Prospera
,VP-OH,Prospera Above Goal,OH,Prospera
,VP-OH,Prospera and Renasight,OH,Others
,VP-OH,Renasight,OH,Renasight
,VP-OH,Renasight Above Goal,OH,Renasight
,VP-OH-HL,Above Goal Prospera,OH,Prospera
,VP-OH-HL,Above Goal Prospera and Renasight,OH,Others
,VP-OH-HL,Above Goal Renasight,OH,Renasight
,VP-OH-HL,Bonus,OH,Others
,VP-OH-HL,Commission Adjustment,OH,Others
,VP-OH-HL,Goal,OH,Others
,VP-OH-HL,Guarantee Extended,OH,Others
,VP-OH-HL,Prospera,OH,Prospera
,VP-OH-HL,Prospera Above Goal,OH,Prospera
,VP-OH-HL,Prospera and Renasight,OH,Others
,VP-OH-HL,Renasight,OH,Renasight
,VP-OH-HL,Renasight Above Goal,OH,Renasight
,AACOS,Above Goal Empower,ONC,Others
,AACOS,Above Goal Follow On Points,ONC,Follow On Patients
,AACOS,Above Goal Initial Patients Points,ONC,Initial Patients
,AACOS,Access Milestone,ONC,Others
,AACOS,Bonus,ONC,Others
,AACOS,CHS Team Performance,ONC,Others
,AACOS,Commission Adjustment,ONC,Others
,AACOS,Follow On Points,ONC,Follow On Patients
,AACOS,Growth Commission,ONC,Others
,AACOS,Guarantee Extended,ONC,Others
,AACOS,Initial Patients Points,ONC,Initial Patients
,AACOS,MBO,ONC,Others
,AACOS,Patient Retention,ONC,Others
,AACOS-Float,Above Goal Empower,ONC,Others
,AACOS-Float,Above Goal Follow On Points,ONC,Follow On Patients
,AACOS-Float,Above Goal Initial Patients Points,ONC,Initial Patients
,AACOS-Float,Access Milestone,ONC,Others
,AACOS-Float,Bonus,ONC,Others
,AACOS-Float,CHS Team Performance,ONC,Others
,AACOS-Float,Commission Adjustment,ONC,Others
,AACOS-Float,Follow On Points,ONC,Follow On Patients
,AACOS-Float,Growth Commission,ONC,Others
,AACOS-Float,Guarantee Extended,ONC,Others
,AACOS-Float,Initial Patients Points,ONC,Initial Patients
,AACOS-Float,MBO,ONC,Others
,AACOS-Float,Patient Retention,ONC,Others
,AD-ONC_Breast_CGS,Above Goal Empower,ONC,Others
,AD-ONC_Breast_CGS,Above Goal Follow On Points,ONC,Follow On Patients
,AD-ONC_Breast_CGS,Above Goal Initial Patients Points,ONC,Initial Patients
,AD-ONC_Breast_CGS,Access Milestone,ONC,Others
,AD-ONC_Breast_CGS,Bonus,ONC,Others
,AD-ONC_Breast_CGS,CHS Team Performance,ONC,Others
,AD-ONC_Breast_CGS,Commission Adjustment,ONC,Others
,AD-ONC_Breast_CGS,Follow On Points,ONC,Follow On Patients
,AD-ONC_Breast_CGS,Growth Commission,ONC,Others
,AD-ONC_Breast_CGS,Guarantee Extended,ONC,Others
,AD-ONC_Breast_CGS,Initial Patients Points,ONC,Initial Patients
,AD-ONC_Breast_CGS,MBO,ONC,Others
,AD-ONC_Breast_CGS,Patient Retention,ONC,Others
,AD-ONC_GI,Above Goal Empower,ONC,Others
,AD-ONC_GI,Above Goal Follow On Points,ONC,Follow On Patients
,AD-ONC_GI,Above Goal Initial Patients Points,ONC,Initial Patients
,AD-ONC_GI,Access Milestone,ONC,Others
,AD-ONC_GI,Bonus,ONC,Others
,AD-ONC_GI,CHS Team Performance,ONC,Others
,AD-ONC_GI,Commission Adjustment,ONC,Others
,AD-ONC_GI,Follow On Points,ONC,Follow On Patients
,AD-ONC_GI,Growth Commission,ONC,Others
,AD-ONC_GI,Guarantee Extended,ONC,Others
,AD-ONC_GI,Initial Patients Points,ONC,Initial Patients
,AD-ONC_GI,MBO,ONC,Others
,AD-ONC_GI,Patient Retention,ONC,Others
,AD-ONC_HEM,Above Goal Empower,ONC,Others
,AD-ONC_HEM,Above Goal Follow On Points,ONC,Follow On Patients
,AD-ONC_HEM,Above Goal Initial Patients Points,ONC,Initial Patients
,AD-ONC_HEM,Access Milestone,ONC,Others
,AD-ONC_HEM,Bonus,ONC,Others
,AD-ONC_HEM,CHS Team Performance,ONC,Others
,AD-ONC_HEM,Commission Adjustment,ONC,Others
,AD-ONC_HEM,Follow On Points,ONC,Follow On Patients
,AD-ONC_HEM,Growth Commission,ONC,Others
,AD-ONC_HEM,Guarantee Extended,ONC,Others
,AD-ONC_HEM,Initial Patients Points,ONC,Initial Patients
,AD-ONC_HEM,MBO,ONC,Others
,AD-ONC_HEM,Patient Retention,ONC,Others
,AD-ONC_HN,Above Goal Empower,ONC,Others
,AD-ONC_HN,Above Goal Follow On Points,ONC,Follow On Patients
,AD-ONC_HN,Above Goal Initial Patients Points,ONC,Initial Patients
,AD-ONC_HN,Access Milestone,ONC,Others
,AD-ONC_HN,Bonus,ONC,Others
,AD-ONC_HN,CHS Team Performance,ONC,Others
,AD-ONC_HN,Commission Adjustment,ONC,Others
,AD-ONC_HN,Follow On Points,ONC,Follow On Patients
,AD-ONC_HN,Growth Commission,ONC,Others
,AD-ONC_HN,Guarantee Extended,ONC,Others
,AD-ONC_HN,Initial Patients Points,ONC,Initial Patients
,AD-ONC_HN,MBO,ONC,Others
,AD-ONC_HN,Patient Retention,ONC,Others
,AD-ONC_Lung,Above Goal Empower,ONC,Others
,AD-ONC_Lung,Above Goal Follow On Points,ONC,Follow On Patients
,AD-ONC_Lung,Above Goal Initial Patients Points,ONC,Initial Patients
,AD-ONC_Lung,Access Milestone,ONC,Others
,AD-ONC_Lung,Bonus,ONC,Others
,AD-ONC_Lung,CHS Team Performance,ONC,Others
,AD-ONC_Lung,Commission Adjustment,ONC,Others
,AD-ONC_Lung,Follow On Points,ONC,Follow On Patients
,AD-ONC_Lung,Growth Commission,ONC,Others
,AD-ONC_Lung,Guarantee Extended,ONC,Others
,AD-ONC_Lung,Initial Patients Points,ONC,Initial Patients
,AD-ONC_Lung,MBO,ONC,Others
,AD-ONC_Lung,Patient Retention,ONC,Others
,AD-ONC_Skin,Above Goal Empower,ONC,Others
,AD-ONC_Skin,Above Goal Follow On Points,ONC,Follow On Patients
,AD-ONC_Skin,Above Goal Initial Patients Points,ONC,Initial Patients
,AD-ONC_Skin,Access Milestone,ONC,Others
,AD-ONC_Skin,Bonus,ONC,Others
,AD-ONC_Skin,CHS Team Performance,ONC,Others
,AD-ONC_Skin,Commission Adjustment,ONC,Others
,AD-ONC_Skin,Follow On Points,ONC,Follow On Patients
,AD-ONC_Skin,Growth Commission,ONC,Others
,AD-ONC_Skin,Guarantee Extended,ONC,Others
,AD-ONC_Skin,Initial Patients Points,ONC,Initial Patients
,AD-ONC_Skin,MBO,ONC,Others
,AD-ONC_Skin,Patient Retention,ONC,Others
,AD-OS,Above Goal Empower,ONC,Others
,AD-OS,Above Goal Follow On Points,ONC,Follow On Patients
,AD-OS,Above Goal Initial Patients Points,ONC,Initial Patients
,AD-OS,Access Milestone,ONC,Others
,AD-OS,Bonus,ONC,Others
,AD-OS,CHS Team Performance,ONC,Others
,AD-OS,Commission Adjustment,ONC,Others
,AD-OS,Follow On Points,ONC,Follow On Patients
,AD-OS,Growth Commission,ONC,Others
,AD-OS,Guarantee Extended,ONC,Others
,AD-OS,Initial Patients Points,ONC,Initial Patients
,AD-OS,MBO,ONC,Others
,AD-OS,Patient Retention,ONC,Others
